,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
343,spotify:track:4cW2Acc84hAKTvN54nZ1ab,Someone Like You,spotify:artist:4jXbk5gQsWSBWL8HGnIcoh,Mason,spotify:album:2tpmLe1fGhFcu4O7HOVGHq,Someone Like You,spotify:artist:4jXbk5gQsWSBWL8HGnIcoh,Mason,2023-08-18,https://i.scdn.co/image/ab67616d0000b273c432f66af35e66d0d4b225ac,1,1,153391,https://p.scdn.co/mp3-preview/2e02be72bc7c7d4107c2c25c55df1799d0cb9d98?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,BE8LH2300129,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-08-17T15:26:02Z
344,spotify:track:1RF02Cf80mTaeNXG2P2boR,21 Reasons (feat. Ella Henderson),"spotify:artist:2gduEC76ry33RVurAvT05p, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1","Nathan Dawe, Ella Henderson",spotify:album:118PKNjhP4NWcrW5OjMwzc,21 Reasons (feat. Ella Henderson),"spotify:artist:2gduEC76ry33RVurAvT05p, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1","Nathan Dawe, Ella Henderson",2022-04-29,https://i.scdn.co/image/ab67616d0000b273ef126ba9057607d88e103904,1,1,155253,https://p.scdn.co/mp3-preview/d156060faa3d61d5fa3ea817f7ebc4008a954549?cid=9950ac751e34487dbbe027c4fd7f8e99,False,81,GBAHS2200261,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
345,spotify:track:1tptjtqImGwCykbZ3mBtZy,Give My Life (feat. Spijk),"spotify:artist:6D1wjtA3nKandBjo3erjkJ, spotify:artist:1LgEmkIWxBhh25V06pRGl2, spotify:artist:5P2W0yAyT5iL5HzSi7uHpK, spotify:artist:3KXJ7gaMIWeUQb3gY24idX","blue my mind, XYSM, C3DRIC, Spijk",spotify:album:1zp5ezyHNuliHmrLiKcyZo,Give My Life (feat. Spijk),"spotify:artist:6D1wjtA3nKandBjo3erjkJ, spotify:artist:1LgEmkIWxBhh25V06pRGl2, spotify:artist:5P2W0yAyT5iL5HzSi7uHpK","blue my mind, XYSM, C3DRIC",2023-06-30,https://i.scdn.co/image/ab67616d0000b273a29daff9222ce2ef49dd11eb,1,1,177143,https://p.scdn.co/mp3-preview/beb7be25228b82b9d2e14ab5b416c5917bee4375?cid=9950ac751e34487dbbe027c4fd7f8e99,False,58,BE8LH2300087,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
346,spotify:track:3yfki4r5cgFA784trLoHnk,Living In A Haze,spotify:artist:1hzfo8twXdOegF3xireCYs,Milky Chance,spotify:album:2Ffexjpw1Q1qdwLWEVThEJ,Living In A Haze,spotify:artist:1hzfo8twXdOegF3xireCYs,Milky Chance,2023-03-01,https://i.scdn.co/image/ab67616d0000b2732f4ba2b526402afb46e517e3,1,1,173369,https://p.scdn.co/mp3-preview/061703eb7db6b44823312ab83926fe7e17116fbe?cid=9950ac751e34487dbbe027c4fd7f8e99,False,78,DEVP22300001,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-20T08:42:19Z
347,spotify:track:4cFjoK5WruTcT1bgcbodh0,I Don't Wanna Know,spotify:artist:2mF9PcfpN8vxRtCfra8hz1,Thierry Von Der Warth,spotify:album:0uBJVRlz1fFjgiDFzRKqpK,I Don't Wanna Know,spotify:artist:2mF9PcfpN8vxRtCfra8hz1,Thierry Von Der Warth,2023-06-16,https://i.scdn.co/image/ab67616d0000b273a4aa88bf71308df41e4b56f9,1,1,133860,https://p.scdn.co/mp3-preview/7cd95bfec1bedf97ed0c4a942714ecc5272a0455?cid=9950ac751e34487dbbe027c4fd7f8e99,False,61,BE8LH2300136,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
348,spotify:track:0YbFEoJi7Esa7lhIrEpBjl,Waves,spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,spotify:album:6yiXkzHvC0OTmhfDQOEWtS,Mercury - Acts 1 & 2,spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,2022-07-01,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,2,9,225431,https://p.scdn.co/mp3-preview/c033e862091fd06ec23b11815cf3558672bfff0c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,76,USUM72205470,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
349,spotify:track:4L0UWATJLFxuAjeJcyGzg9,Out Tonight,spotify:artist:7qplXWyxHyxChnW37jxBxt,Dualities,spotify:album:1T69iIcmH3j35BSSY9dcyV,Out Tonight,spotify:artist:7qplXWyxHyxChnW37jxBxt,Dualities,2023-05-26,https://i.scdn.co/image/ab67616d0000b273a9ad82e261efed6ce8486121,1,1,155478,https://p.scdn.co/mp3-preview/708475a47893eea9ae4f98ad5d624c64680028dd?cid=9950ac751e34487dbbe027c4fd7f8e99,False,53,BE8LH2300115,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
350,spotify:track:7v94i6EcwKfSch4uplaQqv,Told You So,spotify:artist:2lJ6K4PTrrweXhRiqh1CZE,SUPER-Hi,spotify:album:5DT3I8xDobo6h66iHSLfMj,Told You So,spotify:artist:2lJ6K4PTrrweXhRiqh1CZE,SUPER-Hi,2022-07-01,https://i.scdn.co/image/ab67616d0000b27313fa6bb152760794192e4bab,1,1,184760,https://p.scdn.co/mp3-preview/deec58e177c20dc218270dc313645575c2f5ed78?cid=9950ac751e34487dbbe027c4fd7f8e99,True,55,FR59R2209071,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
351,spotify:track:1R5kWYtRTJTBB9LGDgNtW1,Sunroof,spotify:artist:60xGrsCKwS1eDmHgUDnw32,Virtual Friends,spotify:album:2RuUHeVOET9OsYQuRFKzM3,Sunroof,spotify:artist:60xGrsCKwS1eDmHgUDnw32,Virtual Friends,2022-11-24,https://i.scdn.co/image/ab67616d0000b273c1fb7f5676ce1847910caca4,1,1,135132,https://p.scdn.co/mp3-preview/ae445d28a7def55c6ba8de28ea8327212ca0cd02?cid=9950ac751e34487dbbe027c4fd7f8e99,False,56,QZTB22212276,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
352,spotify:track:6PX5CRJFn24G3cypjNO6yw,Work With My Love,"spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:4IWBUUAFIplrNtaOHcJPRM","Alok, James Arthur",spotify:album:4RYjQmimUQhS5R1wgPUUcJ,Work With My Love,"spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:4IWBUUAFIplrNtaOHcJPRM","Alok, James Arthur",2023-01-13,https://i.scdn.co/image/ab67616d0000b273fbdbcef5882f3826b419b7d1,1,1,150483,https://p.scdn.co/mp3-preview/2c9b331cdf0be10ea4161ca29688b84745cf2865?cid=9950ac751e34487dbbe027c4fd7f8e99,False,76,DEE862202511,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
353,spotify:track:0UTnGfNzQdPTZBnvMmbcU1,Feel That Way,"spotify:artist:5s4QJTzJRjMrqBDzPiif9l, spotify:artist:4uZYkecG20FolZDNjrB2US","DALEXO, Gavriel",spotify:album:26OiBfnDOpA0xrG0Sjzqzr,Feel That Way,"spotify:artist:5s4QJTzJRjMrqBDzPiif9l, spotify:artist:4uZYkecG20FolZDNjrB2US","DALEXO, Gavriel",2023-06-23,https://i.scdn.co/image/ab67616d0000b273fe53033ad474b2ecabd2ef2f,1,1,170086,https://p.scdn.co/mp3-preview/389d194019c388f99810b9a3c00c9ae9ee1f21e4?cid=9950ac751e34487dbbe027c4fd7f8e99,False,53,BE8LH2300106,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
